19330014,8,4
88180008,2,3
14360002,5,3
61640018,3,16
68720045,2,4
19350019,2,2
7670006,4,3
13960001,1,1
73180010,3,10
61640010,1,4
19330008,3,10
72430005,16,2
13960108,1,2
81240001,4,10
44450002,5,3
63080015,8,10
26690012,4,16
80840003,4,1
27910005,8,4
88870004,5,4
85690005,10,16
58370002,3,4
61780014,5,5
15300007,2,4
41880003,10,10
35800004,10,10
61780018,5,10
88180019,16,1
32900044,2,3
13960047,2,4
26690008,3,4
15300020,16,10
64300003,2,3
23940001,1,3
73210011,10,10
36650016,8,8
13960066,4,4
61640017,3,16
13960118,1,8
27670007,1,4
62050003,5,10
68720012,3,3
50390006,10,5
19350014,10,4
61780009,5,2
7670001,4,10
13960050,4,16
19350024,10,10
13960081,10,2
73180001,5,3
72430003,16,3
53140021,3,2
46390003,5,10
38040003,8,16
73180027,8,8
68720010,10,4
73210006,5,2
2850008,10,10
27910008,4,2
15300023,3,3
23940005,5,4
69920013,8,2
2030002,16,10
58370005,3,4
40000001,3,5
54480013,2,3
63080008,2,10
56310004,8,5
63080006,2,16
82770002,4,10
23580004,1,10
69920003,4,3
53140030,8,2
34780001,10,3
63080012,16,1
58370003,16,16
55400013,1,5
13120013,4,4
61780011,16,8
13960127,1,5
72630002,1,16
66670003,8,4
13960076,10,10
19330011,2,10
41880009,10,10
13960087,10,10
68720068,3,4
61640016,3,4
2840003,4,2
64300005,2,2
46140004,2,10
23580011,1,2
61780015,2,2
7670009,10,4
13960122,4,5
13960099,2,5
64300001,5,10
63080010,16,1
82770003,1,3
68720056,3,8
41880023,10,10
50390004,10,16
