19330014,8,1
88180008,2,3
14360002,5,5
61640018,3,16
68720045,2,2
19350019,2,2
7670006,4,3
13960001,1,1
73180010,3,5
61640010,1,1
19330008,3,1
72430005,16,16
13960108,1,2
81240001,4,10
44450002,5,3
63080015,8,16
26690012,4,3
80840003,4,5
27910005,8,3
88870004,5,2
85690005,10,16
58370002,3,5
61780014,5,1
15300007,2,2
41880003,10,10
35800004,10,10
61780018,5,8
88180019,16,4
32900044,2,8
13960047,2,2
26690008,3,2
15300020,16,16
64300003,2,8
23940001,1,3
73210011,10,2
36650016,8,8
13960066,4,4
61640017,3,16
13960118,1,10
27670007,1,2
62050003,5,5
68720012,3,3
50390006,10,5
19350014,10,10
61780009,5,2
7670001,4,5
13960050,4,4
19350024,10,2
13960081,10,2
73180001,5,5
72430003,16,10
53140021,3,2
46390003,5,2
38040003,8,5
73180027,8,4
68720010,10,10
73210006,5,2
2850008,10,2
27910008,4,10
15300023,3,1
23940005,5,1
69920013,8,10
2030002,16,4
58370005,3,3
40000001,3,10
54480013,2,3
63080008,2,10
56310004,8,5
63080006,2,3
82770002,4,5
23580004,1,2
69920003,4,3
53140030,8,10
34780001,10,1
63080012,16,16
58370003,16,5
55400013,1,5
13120013,4,10
61780011,16,1
13960127,1,2
72630002,1,16
66670003,8,4
13960076,10,10
19330011,2,2
41880009,10,10
13960087,10,1
68720068,3,4
61640016,3,3
2840003,4,4
64300005,2,10
46140004,2,5
23580011,1,4
61780015,2,2
7670009,10,3
13960122,4,5
13960099,2,8
64300001,5,5
63080010,16,1
82770003,1,3
68720056,3,10
41880023,10,10
50390004,10,4
