19330014,8,4
88180008,2,3
14360002,5,4
61640018,3,1
68720045,2,2
19350019,2,2
7670006,4,3
13960001,1,4
73180010,3,2
61640010,1,4
19330008,3,2
72430005,16,8
13960108,1,4
81240001,4,10
44450002,5,3
63080015,8,2
26690012,4,3
80840003,4,4
27910005,8,3
88870004,5,5
85690005,10,2
58370002,3,5
61780014,5,8
15300007,2,2
41880003,10,10
35800004,10,10
61780018,5,10
88180019,16,4
32900044,2,3
13960047,2,2
26690008,3,10
15300020,16,16
64300003,2,1
23940001,1,3
73210011,10,2
36650016,8,8
13960066,4,4
61640017,3,1
13960118,1,2
27670007,1,2
62050003,5,5
68720012,3,5
50390006,10,3
19350014,10,10
61780009,5,1
7670001,4,4
13960050,4,10
19350024,10,2
13960081,10,2
73180001,5,1
72430003,16,3
53140021,3,10
46390003,5,4
38040003,8,3
73180027,8,8
68720010,10,4
73210006,5,2
2850008,10,2
27910008,4,2
15300023,3,3
23940005,5,2
69920013,8,2
2030002,16,5
58370005,3,2
40000001,3,5
54480013,2,2
63080008,2,5
56310004,8,2
63080006,2,2
82770002,4,2
23580004,1,10
69920003,4,10
53140030,8,2
34780001,10,3
63080012,16,3
58370003,16,4
55400013,1,1
13120013,4,3
61780011,16,8
13960127,1,4
72630002,1,16
66670003,8,4
13960076,10,10
19330011,2,4
41880009,10,10
13960087,10,10
68720068,3,5
61640016,3,4
2840003,4,4
64300005,2,2
46140004,2,3
23580011,1,2
61780015,2,3
7670009,10,4
13960122,4,4
13960099,2,3
64300001,5,3
63080010,16,16
82770003,1,3
68720056,3,10
41880023,10,10
50390004,10,3
