24,12,3,1,11,1,2,1,2,58,1,5
81,25,9,8,12,13,1,8,20,24,1,4
39,21,5,1,18,3,4,1,2,58,1,8
32,5,4,3,5,0,4,2,7,16,1,5
10,2,1,1,2,0,1,0,2,24,2,10
20,2,4,1,2,0,4,2,2,16,1,3
19,7,1,3,7,0,0,1,7,58,1,1
16,4,2,2,4,0,0,2,5,24,2,8
16,3,2,2,2,1,2,0,4,99,2,5
22,2,4,1,2,0,4,2,2,16,2,1
15,6,2,1,6,0,1,1,2,58,2,2
24,9,2,3,9,0,1,1,7,58,1,8
24,9,2,3,9,0,1,1,7,99,1,8
73,20,10,7,19,1,6,4,16,99,1,8
15,6,2,1,6,0,1,1,2,99,2,2
18,8,2,1,6,2,2,0,2,99,3,5
30,11,2,3,9,2,2,0,7,99,2,2
291,125,37,15,64,61,25,15,34,99,3,5
301,129,37,17,68,61,25,15,39,99,2,2
24,3,6,1,2,1,3,3,2,99,2,2
48,11,6,1,11,0,4,2,2,16,3,2
371,71,82,5,71,0,60,22,12,16,1,3
342,65,82,3,65,0,60,22,7,16,2,16
45,7,8,5,7,0,6,2,12,48,1,2
24,5,2,4,5,0,2,0,9,18,2,3
29,7,2,4,7,0,2,0,9,13,1,5
10,2,1,1,2,0,1,0,2,6,1,2
35,8,2,6,8,0,2,0,14,18,1,2
17,4,2,2,4,0,2,0,4,13,2,2
15,6,2,1,6,0,0,2,2,11,1,10
10,3,1,1,2,1,0,1,2,11,1,10
21,7,1,3,7,0,1,0,7,13,1,10
11,4,1,1,4,0,1,0,2,13,2,3
38,16,1,4,15,1,5,3,9,13,1,10
29,13,1,2,12,1,5,3,4,13,2,8
29,9,5,1,9,0,4,1,2,6,1,3
63,21,7,3,21,0,5,2,7,11,1,3
5,2,0,1,2,0,0,0,2,6,1,3
46,12,11,1,12,0,9,2,2,6,1,3
17,5,3,1,5,0,2,1,2,6,1,3
16,5,2,1,5,0,2,0,2,11,2,16
25,6,4,1,6,0,4,0,2,6,1,3
41,15,4,1,15,0,4,0,2,11,2,16
30,9,3,3,9,0,2,1,7,11,1,3
16,4,2,2,4,0,1,2,4,13,1,10
9,2,1,1,2,0,0,1,2,6,1,5
8,2,1,1,2,0,0,1,2,13,1,2
13,4,2,1,4,0,1,1,2,58,1,5
10,4,1,1,4,0,0,1,2,58,2,2
17,5,3,1,4,1,2,1,2,58,1,2
24,9,4,1,9,0,2,2,2,58,1,5
9,3,0,1,3,0,1,0,2,6,1,2
36,15,4,3,13,2,3,1,7,26,2,16
27,12,4,1,10,2,3,1,2,26,3,1
10,4,1,1,4,0,0,1,2,26,2,5
45,18,4,5,16,2,3,1,12,26,1,16
27,11,1,3,9,2,2,2,7,11,1,16
18,8,1,1,6,2,2,2,2,11,2,3
27,12,4,1,10,2,3,1,2,26,3,1
19,7,1,3,7,0,0,1,7,26,1,2
36,15,4,3,13,2,3,1,7,26,2,3
45,18,4,5,16,2,3,1,12,26,1,16
36,15,4,3,13,2,3,1,7,26,2,16
19,7,1,3,7,0,0,1,7,26,1,3
10,4,1,1,4,0,0,1,2,26,2,4
10,4,1,1,4,0,0,1,2,26,2,3
45,18,4,5,16,2,3,1,12,26,1,16
27,12,4,1,10,2,3,1,2,26,3,3
19,7,1,3,7,0,0,1,7,26,1,3
36,15,4,3,13,2,3,1,7,26,2,3
27,12,4,1,10,2,3,1,2,26,3,5
33,13,6,1,4,9,5,1,2,6,1,10
12,5,1,1,5,0,0,1,2,6,1,16
17,2,4,1,2,0,2,2,2,36,2,3
28,10,5,1,5,5,4,1,2,36,2,3
82,24,13,5,15,9,8,5,12,36,1,1
45,18,4,5,16,2,3,1,12,26,1,16
29,11,5,1,5,6,4,1,2,36,1,1
11,2,2,1,2,0,1,1,2,36,1,16
113,60,24,1,60,0,16,8,2,11,1,16
115,62,24,1,62,0,16,8,2,11,1,16
9,2,1,1,2,0,1,0,2,36,2,3
22,7,1,3,7,0,1,0,7,36,1,10
18,9,1,1,5,4,0,1,2,9,1,10
10,4,1,1,4,0,0,1,2,26,2,3
45,18,4,5,16,2,3,1,12,26,1,16
27,12,4,1,10,2,3,1,2,26,3,5
19,7,1,3,7,0,0,1,7,26,1,4
19,7,1,3,7,0,0,1,7,26,1,2
10,4,1,1,4,0,0,1,2,26,2,4
9,2,1,1,2,0,1,0,2,11,2,3
36,15,4,3,13,2,3,1,7,26,2,16
22,7,1,3,7,0,1,0,7,11,1,16
12,3,2,1,3,0,1,1,2,45,2,1
27,12,4,1,10,2,3,1,2,26,3,3
9,2,0,1,2,0,0,0,2,16,1,4
9,2,0,1,2,0,0,0,2,16,1,4
36,15,4,3,13,2,3,1,7,26,2,16
9,2,0,1,2,0,0,0,2,16,1,4
48,28,0,3,19,9,0,0,7,11,1,5
22,14,0,1,9,5,0,0,2,11,2,2
10,4,1,1,4,0,0,1,2,26,2,5
45,18,4,5,16,2,3,1,12,26,1,16
18,2,4,1,2,0,4,0,2,16,1,5
22,2,4,1,2,0,4,0,2,16,2,1
22,2,4,1,2,0,4,0,2,16,2,1
32,5,4,3,5,0,4,0,7,16,1,5
32,5,4,3,5,0,4,0,7,16,1,5
7,2,0,1,2,0,0,0,2,6,1,4
18,2,4,1,2,0,4,0,2,16,1,5
19,7,1,3,7,0,0,1,7,26,1,2
9,3,0,1,2,1,0,0,2,6,1,10
22,2,4,1,2,0,4,0,2,16,2,1
93,22,14,13,22,0,12,2,16,45,2,1
10,2,1,1,2,0,1,0,2,45,2,1
145,34,21,19,34,0,16,5,31,45,1,1
10,2,1,1,2,0,1,0,2,45,1,1
9,3,1,1,3,0,0,1,2,45,1,1
32,5,4,3,5,0,4,0,7,16,1,5
18,2,4,1,2,0,4,0,2,16,1,2
60,35,3,3,32,3,0,3,7,51,3,3
20,12,1,1,11,1,0,1,2,51,4,4
25,5,0,3,5,0,0,0,7,51,1,1
13,2,0,1,2,0,0,0,2,51,2,1
71,14,0,8,9,5,8,0,22,26,1,1
